area_level,area_code,parent_code,area_type,is_leaf,sido_name,sigungu_name,full_name,latitude,longitude,coordinate_method,source_boundary_codes,boundary_base_date
SIDO,11,,특별시,false,서울특별시,,서울특별시,37.5644811,126.9396081,SGIS_2025_POINT_ON_SURFACE,11,2025-06-30
SIGUNGU,11110,11,구,true,서울특별시,종로구,서울특별시 종로구,37.5990843,126.9667515,SGIS_2025_POINT_ON_SURFACE,11010,2025-06-30
SIGUNGU,11140,11,구,true,서울특별시,중구,서울특별시 중구,37.5578651,126.9929867,SGIS_2025_POINT_ON_SURFACE,11020,2025-06-30
SIGUNGU,11170,11,구,true,서울특별시,용산구,서울특별시 용산구,37.5310492,126.9804642,SGIS_2025_POINT_ON_SURFACE,11030,2025-06-30
SIGUNGU,11200,11,구,true,서울특별시,성동구,서울특별시 성동구,37.5506365,127.0412913,SGIS_2025_POINT_ON_SURFACE,11040,2025-06-30
SIGUNGU,11215,11,구,true,서울특별시,광진구,서울특별시 광진구,37.5482288,127.0894331,SGIS_2025_POINT_ON_SURFACE,11050,2025-06-30
SIGUNGU,11230,11,구,true,서울특별시,동대문구,서울특별시 동대문구,37.5843933,127.0517961,SGIS_2025_POINT_ON_SURFACE,11060,2025-06-30
SIGUNGU,11260,11,구,true,서울특별시,중랑구,서울특별시 중랑구,37.5953077,127.0931448,SGIS_2025_POINT_ON_SURFACE,11070,2025-06-30
SIGUNGU,11290,11,구,true,서울특별시,성북구,서울특별시 성북구,37.6070926,127.0271039,SGIS_2025_POINT_ON_SURFACE,11080,2025-06-30
SIGUNGU,11305,11,구,true,서울특별시,강북구,서울특별시 강북구,37.6469708,127.0048141,SGIS_2025_POINT_ON_SURFACE,11090,2025-06-30
SIGUNGU,11320,11,구,true,서울특별시,도봉구,서울특별시 도봉구,37.6659647,127.0327731,SGIS_2025_POINT_ON_SURFACE,11100,2025-06-30
SIGUNGU,11350,11,구,true,서울특별시,노원구,서울특별시 노원구,37.6552160,127.0732350,SGIS_2025_POINT_ON_SURFACE,11110,2025-06-30
SIGUNGU,11380,11,구,true,서울특별시,은평구,서울특별시 은평구,37.6177229,126.9265790,SGIS_2025_POINT_ON_SURFACE,11120,2025-06-30
SIGUNGU,11410,11,구,true,서울특별시,서대문구,서울특별시 서대문구,37.5828588,126.9331304,SGIS_2025_POINT_ON_SURFACE,11130,2025-06-30
SIGUNGU,11440,11,구,true,서울특별시,마포구,서울특별시 마포구,37.5622169,126.8983078,SGIS_2025_POINT_ON_SURFACE,11140,2025-06-30
SIGUNGU,11470,11,구,true,서울특별시,양천구,서울특별시 양천구,37.5270953,126.8620799,SGIS_2025_POINT_ON_SURFACE,11150,2025-06-30
SIGUNGU,11500,11,구,true,서울특별시,강서구,서울특별시 강서구,37.5657558,126.8184992,SGIS_2025_POINT_ON_SURFACE,11160,2025-06-30
SIGUNGU,11530,11,구,true,서울특별시,구로구,서울특별시 구로구,37.4955433,126.8540602,SGIS_2025_POINT_ON_SURFACE,11170,2025-06-30
SIGUNGU,11545,11,구,true,서울특별시,금천구,서울특별시 금천구,37.4601309,126.8998085,SGIS_2025_POINT_ON_SURFACE,11180,2025-06-30
SIGUNGU,11560,11,구,true,서울특별시,영등포구,서울특별시 영등포구,37.5207612,126.9146597,SGIS_2025_POINT_ON_SURFACE,11190,2025-06-30
SIGUNGU,11590,11,구,true,서울특별시,동작구,서울특별시 동작구,37.4964440,126.9476235,SGIS_2025_POINT_ON_SURFACE,11200,2025-06-30
SIGUNGU,11620,11,구,true,서울특별시,관악구,서울특별시 관악구,37.4654831,126.9508188,SGIS_2025_POINT_ON_SURFACE,11210,2025-06-30
SIGUNGU,11650,11,구,true,서울특별시,서초구,서울특별시 서초구,37.4768786,127.0136546,SGIS_2025_POINT_ON_SURFACE,11220,2025-06-30
SIGUNGU,11680,11,구,true,서울특별시,강남구,서울특별시 강남구,37.4960058,127.0624661,SGIS_2025_POINT_ON_SURFACE,11230,2025-06-30
SIGUNGU,11710,11,구,true,서울특별시,송파구,서울특별시 송파구,37.5048645,127.1058583,SGIS_2025_POINT_ON_SURFACE,11240,2025-06-30
